timestamp_utc,mode,memory_used_mb
2026-06-16T02:21:21.973297+00:00,contiguous,914.0
2026-06-16T02:21:22.282660+00:00,contiguous,914.0
2026-06-16T02:21:22.589369+00:00,contiguous,914.0
2026-06-16T02:21:22.901774+00:00,contiguous,911.0
2026-06-16T02:21:23.212507+00:00,contiguous,911.0
2026-06-16T02:21:23.519989+00:00,contiguous,911.0
2026-06-16T02:21:23.829519+00:00,contiguous,911.0
2026-06-16T02:21:24.142132+00:00,contiguous,911.0
2026-06-16T02:21:24.449817+00:00,contiguous,911.0
2026-06-16T02:21:24.765145+00:00,contiguous,911.0
2026-06-16T02:21:25.163574+00:00,contiguous,911.0
2026-06-16T02:21:25.485079+00:00,contiguous,922.0
2026-06-16T02:21:25.840933+00:00,contiguous,1484.0
2026-06-16T02:21:26.160558+00:00,contiguous,2358.0
2026-06-16T02:21:26.467994+00:00,contiguous,3320.0
2026-06-16T02:21:26.774846+00:00,contiguous,3732.0
2026-06-16T02:21:27.091561+00:00,contiguous,3924.0
2026-06-16T02:21:27.397390+00:00,contiguous,4088.0
2026-06-16T02:21:27.706723+00:00,contiguous,4326.0
2026-06-16T02:21:28.014491+00:00,contiguous,4356.0
2026-06-16T02:21:28.319559+00:00,contiguous,4358.0
2026-06-16T02:21:28.622928+00:00,contiguous,4362.0
2026-06-16T02:21:28.928151+00:00,contiguous,4480.0
2026-06-16T02:21:29.238145+00:00,contiguous,4636.0
2026-06-16T02:21:29.549016+00:00,contiguous,4864.0
2026-06-16T02:21:29.863222+00:00,contiguous,4910.0
2026-06-16T02:21:30.173092+00:00,contiguous,4942.0
2026-06-16T02:21:30.504680+00:00,contiguous,4942.0
2026-06-16T02:21:30.812129+00:00,contiguous,4942.0
2026-06-16T02:21:31.120461+00:00,contiguous,4942.0
2026-06-16T02:21:31.426952+00:00,contiguous,4942.0
2026-06-16T02:21:31.736240+00:00,contiguous,4942.0
2026-06-16T02:21:32.044699+00:00,contiguous,4942.0
2026-06-16T02:21:32.352002+00:00,contiguous,4942.0
2026-06-16T02:21:32.657647+00:00,contiguous,4942.0
2026-06-16T02:21:32.965144+00:00,contiguous,4942.0
2026-06-16T02:21:33.270483+00:00,contiguous,4942.0
2026-06-16T02:21:33.577902+00:00,contiguous,4942.0
2026-06-16T02:21:33.884153+00:00,contiguous,4942.0
2026-06-16T02:21:34.203387+00:00,contiguous,4942.0
2026-06-16T02:21:34.514696+00:00,contiguous,4942.0
2026-06-16T02:21:34.822907+00:00,contiguous,4942.0
2026-06-16T02:21:35.127524+00:00,contiguous,4942.0
2026-06-16T02:21:35.436622+00:00,contiguous,4942.0
2026-06-16T02:21:35.744502+00:00,contiguous,4942.0
2026-06-16T02:21:36.051249+00:00,contiguous,4942.0
2026-06-16T02:21:36.356843+00:00,contiguous,4942.0
2026-06-16T02:21:36.663144+00:00,contiguous,4942.0
2026-06-16T02:21:36.970382+00:00,contiguous,4942.0
2026-06-16T02:21:37.273602+00:00,contiguous,4942.0
2026-06-16T02:21:37.578027+00:00,contiguous,4942.0
2026-06-16T02:21:37.880975+00:00,contiguous,4942.0
2026-06-16T02:21:38.205759+00:00,contiguous,4942.0
2026-06-16T02:21:38.513860+00:00,contiguous,4942.0
2026-06-16T02:21:38.819155+00:00,contiguous,4942.0
2026-06-16T02:21:39.120661+00:00,contiguous,4942.0
2026-06-16T02:21:39.423783+00:00,contiguous,4942.0
2026-06-16T02:21:39.726136+00:00,contiguous,4942.0
2026-06-16T02:21:40.026384+00:00,contiguous,4942.0
2026-06-16T02:21:40.330902+00:00,contiguous,4942.0
2026-06-16T02:21:40.636337+00:00,contiguous,4942.0
2026-06-16T02:21:40.935565+00:00,contiguous,4942.0
2026-06-16T02:21:41.240845+00:00,contiguous,4942.0
2026-06-16T02:21:41.544731+00:00,contiguous,4942.0
2026-06-16T02:21:41.846057+00:00,contiguous,4942.0
2026-06-16T02:21:42.149379+00:00,contiguous,4942.0
2026-06-16T02:21:42.452618+00:00,contiguous,4942.0
2026-06-16T02:21:42.752877+00:00,contiguous,4942.0
2026-06-16T02:21:43.055053+00:00,contiguous,4942.0
2026-06-16T02:21:43.361095+00:00,contiguous,4942.0
2026-06-16T02:21:43.659576+00:00,contiguous,4942.0
2026-06-16T02:21:43.961932+00:00,contiguous,4942.0
2026-06-16T02:21:44.264930+00:00,contiguous,4942.0
2026-06-16T02:21:44.567052+00:00,contiguous,4942.0
2026-06-16T02:21:44.872449+00:00,contiguous,4942.0
2026-06-16T02:21:45.176787+00:00,contiguous,4942.0
2026-06-16T02:21:45.480821+00:00,contiguous,4942.0
2026-06-16T02:21:45.803008+00:00,contiguous,4942.0
2026-06-16T02:21:46.107101+00:00,contiguous,4942.0
2026-06-16T02:21:46.417202+00:00,contiguous,4942.0
2026-06-16T02:21:46.736986+00:00,contiguous,4942.0
2026-06-16T02:21:47.042241+00:00,contiguous,4942.0
2026-06-16T02:21:47.349372+00:00,contiguous,4942.0
2026-06-16T02:21:47.655889+00:00,contiguous,4942.0
2026-06-16T02:21:47.963396+00:00,contiguous,4942.0
2026-06-16T02:21:48.268153+00:00,contiguous,4942.0
2026-06-16T02:21:48.571228+00:00,contiguous,4942.0
2026-06-16T02:21:48.872256+00:00,contiguous,4942.0
2026-06-16T02:21:49.174050+00:00,contiguous,4942.0
2026-06-16T02:21:49.482199+00:00,contiguous,4942.0
2026-06-16T02:21:49.784721+00:00,contiguous,4942.0
2026-06-16T02:21:50.086865+00:00,contiguous,4942.0
2026-06-16T02:21:50.398182+00:00,contiguous,4942.0
2026-06-16T02:21:50.701380+00:00,contiguous,4942.0
2026-06-16T02:21:51.002204+00:00,contiguous,4942.0
2026-06-16T02:21:51.305197+00:00,contiguous,4942.0
2026-06-16T02:21:51.608671+00:00,contiguous,4942.0
2026-06-16T02:21:51.915438+00:00,contiguous,4942.0
2026-06-16T02:21:52.220197+00:00,contiguous,4942.0
2026-06-16T02:21:52.524477+00:00,contiguous,4942.0
2026-06-16T02:21:52.827500+00:00,contiguous,4942.0
2026-06-16T02:21:53.128671+00:00,contiguous,4942.0
2026-06-16T02:21:53.431917+00:00,contiguous,4942.0
2026-06-16T02:21:53.749211+00:00,contiguous,4942.0
2026-06-16T02:21:54.051776+00:00,contiguous,4942.0
2026-06-16T02:21:54.359613+00:00,contiguous,4942.0
2026-06-16T02:21:54.666479+00:00,contiguous,4942.0
2026-06-16T02:21:54.972700+00:00,contiguous,4942.0
2026-06-16T02:21:55.279184+00:00,contiguous,4942.0
2026-06-16T02:21:55.594529+00:00,contiguous,4942.0
2026-06-16T02:21:55.904525+00:00,contiguous,4942.0
2026-06-16T02:21:56.213387+00:00,contiguous,4942.0
2026-06-16T02:21:56.519617+00:00,contiguous,4942.0
2026-06-16T02:21:56.827129+00:00,contiguous,4942.0
2026-06-16T02:21:57.132997+00:00,contiguous,4942.0
2026-06-16T02:21:57.444505+00:00,contiguous,4942.0
2026-06-16T02:21:57.749687+00:00,contiguous,4942.0
2026-06-16T02:21:58.055718+00:00,contiguous,4942.0
2026-06-16T02:21:58.365251+00:00,contiguous,4942.0
2026-06-16T02:21:58.669742+00:00,contiguous,4942.0
2026-06-16T02:21:59.001818+00:00,contiguous,4942.0
2026-06-16T02:21:59.307144+00:00,contiguous,4942.0
2026-06-16T02:21:59.626415+00:00,contiguous,4942.0
2026-06-16T02:21:59.931387+00:00,contiguous,4942.0
2026-06-16T02:22:00.237728+00:00,contiguous,4942.0
2026-06-16T02:22:00.545664+00:00,contiguous,4942.0
2026-06-16T02:22:00.850189+00:00,contiguous,4942.0
2026-06-16T02:22:01.165137+00:00,contiguous,4942.0
2026-06-16T02:22:01.472734+00:00,contiguous,4942.0
2026-06-16T02:22:01.780744+00:00,contiguous,4942.0
2026-06-16T02:22:02.085784+00:00,contiguous,4942.0
2026-06-16T02:22:02.391662+00:00,contiguous,4942.0
2026-06-16T02:22:02.699206+00:00,contiguous,4942.0
2026-06-16T02:22:03.010552+00:00,contiguous,4942.0
2026-06-16T02:22:03.319582+00:00,contiguous,4942.0
2026-06-16T02:22:03.629114+00:00,contiguous,4942.0
2026-06-16T02:22:03.936667+00:00,contiguous,4942.0
2026-06-16T02:22:04.243027+00:00,contiguous,4942.0
2026-06-16T02:22:04.547731+00:00,contiguous,4942.0
2026-06-16T02:22:04.855531+00:00,contiguous,4942.0
