timestamp_utc,mode,memory_used_mb
2026-06-16T02:42:25.831405+00:00,contiguous,903.0
2026-06-16T02:42:26.136245+00:00,contiguous,903.0
2026-06-16T02:42:26.441650+00:00,contiguous,903.0
2026-06-16T02:42:26.747087+00:00,contiguous,903.0
2026-06-16T02:42:27.052341+00:00,contiguous,903.0
2026-06-16T02:42:27.356831+00:00,contiguous,889.0
2026-06-16T02:42:27.665951+00:00,contiguous,889.0
2026-06-16T02:42:27.976984+00:00,contiguous,889.0
2026-06-16T02:42:28.283663+00:00,contiguous,829.0
2026-06-16T02:42:28.590192+00:00,contiguous,829.0
2026-06-16T02:42:28.979490+00:00,contiguous,829.0
2026-06-16T02:42:29.316542+00:00,contiguous,840.0
2026-06-16T02:42:29.671551+00:00,contiguous,1402.0
2026-06-16T02:42:29.978735+00:00,contiguous,2334.0
2026-06-16T02:42:30.281737+00:00,contiguous,3564.0
2026-06-16T02:42:30.587131+00:00,contiguous,4243.0
2026-06-16T02:42:30.895457+00:00,contiguous,4273.0
2026-06-16T02:42:31.203457+00:00,contiguous,4275.0
2026-06-16T02:42:31.508510+00:00,contiguous,4397.0
2026-06-16T02:42:31.839277+00:00,contiguous,4551.0
2026-06-16T02:42:32.175430+00:00,contiguous,4805.0
2026-06-16T02:42:32.535158+00:00,contiguous,4853.0
2026-06-16T02:42:32.868183+00:00,contiguous,4859.0
2026-06-16T02:42:33.178326+00:00,contiguous,4859.0
2026-06-16T02:42:33.498415+00:00,contiguous,4859.0
2026-06-16T02:42:33.805651+00:00,contiguous,4859.0
2026-06-16T02:42:34.114862+00:00,contiguous,4859.0
2026-06-16T02:42:34.424784+00:00,contiguous,4859.0
2026-06-16T02:42:34.733642+00:00,contiguous,4859.0
2026-06-16T02:42:35.044441+00:00,contiguous,4859.0
2026-06-16T02:42:35.351373+00:00,contiguous,4859.0
2026-06-16T02:42:35.660417+00:00,contiguous,4859.0
2026-06-16T02:42:35.970633+00:00,contiguous,4859.0
2026-06-16T02:42:36.278782+00:00,contiguous,4859.0
2026-06-16T02:42:36.599728+00:00,contiguous,4859.0
2026-06-16T02:42:36.906754+00:00,contiguous,4859.0
2026-06-16T02:42:37.237518+00:00,contiguous,4859.0
2026-06-16T02:42:37.564197+00:00,contiguous,4859.0
2026-06-16T02:42:37.875077+00:00,contiguous,4859.0
2026-06-16T02:42:38.204437+00:00,contiguous,4859.0
2026-06-16T02:42:38.512374+00:00,contiguous,4859.0
2026-06-16T02:42:38.829833+00:00,contiguous,4859.0
2026-06-16T02:42:39.138481+00:00,contiguous,4859.0
2026-06-16T02:42:39.444954+00:00,contiguous,4859.0
2026-06-16T02:42:39.754382+00:00,contiguous,4859.0
2026-06-16T02:42:40.063445+00:00,contiguous,4859.0
2026-06-16T02:42:40.371671+00:00,contiguous,4859.0
